language,repo_name,total_prs_analyzed,total_story_points_project,avg_pre_coding_desc_length,total_post_coding_churn,avg_ai_generation_ratio,total_ai_mentions
typescript,dify,300,912,2056.24,136261,12.03,88
typescript,Stirling-PDF,119,275,4784.08,168671,8.21,5
typescript,lobehub,300,1113,1621.39,176451,132.14,320
typescript,superset,27,88,4537.48,24590,34.51,43
typescript,ant-design-pro,55,141,3276.29,32636,5.3,146
typescript,Trilium,42,120,451.45,23441,6.48,19
typescript,dokploy,37,109,1603.43,229502,249.9,7
typescript,langfuse,204,577,4572.17,45643,22.74,210
typescript,Roo-Code,18,67,1271.5,75869,4.35,2
typescript,vueuse,9,18,2033.0,627,15.96,0
typescript,appium,1,2,1143.0,36,36.0,0
typescript,plate,10,41,3057.0,3410,8.98,0
typescript,metamask-extension,300,1008,4333.52,180849,23.25,246
typescript,ant-design-mobile,2,5,515.5,277,4.62,0
typescript,t3code,116,341,3642.35,25590,12.01,27
typescript,cc-haha,15,71,780.33,7606,95.83,10
typescript,misskey,40,96,1109.62,52575,7.05,10
typescript,assistant-ui,136,507,2315.93,51202,27.95,88
typescript,valibot,17,46,1528.65,4050,126.61,5
javascript,desktop,95,233,425.51,17897,7.84,1
python,langflow,1,5,9883.0,2765,46.69,2
python,ragflow,300,1002,1109.54,63148,40.45,102
python,keras,118,298,1387.92,14968,33.7,0
python,MinerU,62,210,1586.65,9093,4.18,0
python,llama_index,33,65,4631.67,20188,11.1,25
python,BettaFish,2,3,1086.0,18,1.19,0
python,AstrBot,122,328,2263.49,14795,20.55,24
python,Scrapegraph-ai,3,18,867.33,2305,9.07,10
python,LangBot,31,94,1298.81,40121,19.86,52
python,chainlit,3,8,988.0,116,5.44,1
python,keep,8,12,1276.12,340,22.05,0
python,espnet,12,39,2517.5,7046,57.62,7
python,phoenix,292,865,1785.09,97270,23.68,174
python,countries-states-cities-database,149,210,1457.99,8714254,55658.55,153
