repo_name,language,pr_number,era,code_churn,files_changed,review_cycles,pr_comments,refactoring_ratio,commit_velocity,velocity_sprint,active_contributors,age_days,stars,story_points
public-apis,Python,2205,pre_AI,1,1,0,2,0.0,0.01,0.31,1,3672,420598,1
free-programming-books,Python,13210,post_AI,6,1,0,1,0.0,0.42,6.22,100,4564,385277,1
free-programming-books,Python,13207,post_AI,1,1,0,1,0.0,0.03,6.22,100,4564,385277,1
free-programming-books,Python,13190,post_AI,3,1,0,0,0.0,3.0,6.22,100,4564,385277,1
free-programming-books,Python,13188,post_AI,9,2,0,0,0.3,3.3,6.22,100,4564,385277,2
free-programming-books,Python,13185,post_AI,2,1,0,1,0.0,0.1,6.22,100,4564,385277,1
free-programming-books,Python,13152,post_AI,1,1,0,0,0.0,0.01,6.22,100,4564,385277,1
free-programming-books,Python,13151,post_AI,1,1,0,2,0.3,0.01,6.22,100,4564,385277,1
free-programming-books,Python,13183,post_AI,2,1,0,1,0.0,2.0,6.22,100,4564,385277,1
free-programming-books,Python,13176,post_AI,8,1,1,3,0.6,0.3,6.22,100,4564,385277,2
free-programming-books,Python,13173,post_AI,1,1,0,0,0.0,0.03,6.22,100,4564,385277,1
free-programming-books,Python,13167,post_AI,2,1,0,0,0.0,0.04,6.22,100,4564,385277,1
free-programming-books,Python,13119,post_AI,11,1,1,12,0.85,0.02,6.22,100,4564,385277,3
free-programming-books,Python,13139,post_AI,2,1,0,2,0.0,0.03,6.22,100,4564,385277,1
free-programming-books,Python,13149,post_AI,1,1,0,1,0.0,0.04,6.22,100,4564,385277,1
free-programming-books,Python,13140,post_AI,5,1,0,2,0.0,0.07,6.22,100,4564,385277,1
free-programming-books,Python,13135,post_AI,1,1,0,0,0.0,0.01,6.22,100,4564,385277,1
free-programming-books,Python,13128,post_AI,1,1,0,3,0.3,0.01,6.22,100,4564,385277,2
free-programming-books,Python,13130,post_AI,1,1,0,3,0.0,0.02,6.22,100,4564,385277,2
free-programming-books,Python,12920,post_AI,2,1,0,0,0.0,0.07,6.22,100,4564,385277,1
free-programming-books,Python,12750,post_AI,1,1,0,1,0.6,0.03,6.22,100,4564,385277,1
free-programming-books,Python,1,pre_AI,2,1,0,1,0.0,2.0,6.22,100,4564,385277,1
free-programming-books,Python,13129,post_AI,2,1,0,1,0.0,0.06,6.22,100,4564,385277,1
free-programming-books,Python,13127,post_AI,2,1,0,1,0.0,0.04,6.22,100,4564,385277,1
free-programming-books,Python,13117,post_AI,7,1,0,2,0.3,0.06,6.22,100,4564,385277,1
free-programming-books,Python,13098,post_AI,6,1,0,1,0.0,0.03,6.22,100,4564,385277,1
free-programming-books,Python,13120,post_AI,2,1,0,2,0.0,0.04,6.22,100,4564,385277,1
free-programming-books,Python,13122,post_AI,10,1,0,1,0.0,0.53,6.22,100,4564,385277,1
free-programming-books,Python,13099,post_AI,6,3,0,1,0.0,0.04,6.22,100,4564,385277,2
free-programming-books,Python,13100,post_AI,2,1,0,1,0.0,0.01,6.22,100,4564,385277,1
free-programming-books,Python,13109,post_AI,4,1,0,0,0.0,0.07,6.22,100,4564,385277,1
system-design-primer,Python,1153,post_AI,2,1,0,1,0.0,0.0,1.09,1,3329,342101,1
system-design-primer,Python,1189,post_AI,2,1,0,3,0.0,0.0,1.09,1,3329,342101,2
system-design-primer,Python,1163,post_AI,2,1,0,2,0.0,0.0,1.09,1,3329,342101,1
system-design-primer,Python,1181,post_AI,2,1,0,1,0.0,0.0,1.09,1,3329,342101,1
system-design-primer,Python,1190,post_AI,4,1,0,1,0.0,0.0,1.09,1,3329,342101,1
system-design-primer,Python,1203,post_AI,2,1,0,1,0.0,0.02,1.09,1,3329,342101,1
system-design-primer,Python,1197,post_AI,2,1,0,1,0.0,0.01,1.09,1,3329,342101,1
system-design-primer,Python,56,pre_AI,0,1,0,1,0.0,0.0,1.09,1,3329,342101,1
system-design-primer,Python,1032,post_AI,8,4,0,1,0.0,0.0,1.09,1,3329,342101,2
system-design-primer,Python,1161,post_AI,4,1,0,1,0.3,0.01,1.09,1,3329,342101,1
system-design-primer,Python,1147,post_AI,2,1,0,1,0.0,0.0,1.09,1,3329,342101,1
system-design-primer,Python,11,pre_AI,2,1,0,1,0.0,0.19,1.09,1,3329,342101,1
system-design-primer,Python,592,pre_AI,4,4,0,2,0.0,0.0,1.09,1,3329,342101,2
system-design-primer,Python,1042,post_AI,54,4,0,1,0.3,0.02,1.09,1,3329,342101,2
system-design-primer,Python,855,post_AI,16,4,0,0,0.3,0.01,1.09,1,3329,342101,2
system-design-primer,Python,872,post_AI,4,1,0,0,0.0,0.03,1.09,1,3329,342101,1
awesome-python,Python,3027,post_AI,1,1,0,0,0.3,0.03,68.6,1,4304,291605,1
awesome-python,Python,3015,post_AI,1,1,1,4,0.3,0.02,68.6,1,4304,291605,2
awesome-python,Python,3014,post_AI,4,1,0,0,0.0,0.63,68.6,1,4304,291605,1
awesome-python,Python,116,pre_AI,1,1,0,0,0.0,0.08,68.6,1,4304,291605,1
awesome-python,Python,3012,post_AI,1,1,0,0,0.0,1.0,68.6,1,4304,291605,1
awesome-python,Python,3010,post_AI,6,1,0,0,0.0,6.0,68.6,1,4304,291605,1
awesome-python,Python,3008,post_AI,2,1,0,0,0.0,0.08,68.6,1,4304,291605,1
awesome-python,Python,3007,post_AI,6,1,0,2,0.0,2.58,68.6,1,4304,291605,1
awesome-python,Python,3000,post_AI,1,1,0,0,0.0,0.02,68.6,1,4304,291605,1
awesome-python,Python,3003,post_AI,1,1,1,1,0.3,0.04,68.6,1,4304,291605,2
awesome-python,Python,2999,post_AI,2,1,0,0,0.0,0.05,68.6,1,4304,291605,1
awesome-python,Python,3002,post_AI,2,1,0,0,0.0,0.08,68.6,1,4304,291605,1
awesome-python,Python,2998,post_AI,4,1,0,0,0.0,2.99,68.6,1,4304,291605,1
awesome-python,Python,2993,post_AI,1,1,0,0,0.0,1.0,68.6,1,4304,291605,1
awesome-python,Python,2974,post_AI,1,1,0,3,0.3,0.01,68.6,1,4304,291605,2
awesome-python,Python,2990,post_AI,2,1,0,0,0.0,2.0,68.6,1,4304,291605,1
awesome-python,Python,2984,post_AI,4,1,0,2,0.0,0.13,68.6,1,4304,291605,1
awesome-python,Python,2979,post_AI,1,1,0,0,0.0,1.0,68.6,1,4304,291605,1
awesome-python,Python,2969,post_AI,5353,19,0,3,0.6,5353.0,68.6,1,4304,291605,8
awesome-python,Python,2968,post_AI,1,1,0,0,0.0,1.0,68.6,1,4304,291605,1
awesome-python,Python,2975,post_AI,34,1,0,0,0.6,34.0,68.6,1,4304,291605,1
awesome-python,Python,2973,post_AI,178,2,0,0,0.3,178.0,68.6,1,4304,291605,2
awesome-python,Python,2972,post_AI,3523,7,0,0,0.85,3523.0,68.6,1,4304,291605,3
awesome-python,Python,2971,post_AI,3968,15,0,2,0.85,3968.0,68.6,1,4304,291605,5
awesome-python,Python,2950,post_AI,1,1,0,1,0.3,0.0,68.6,1,4304,291605,1
Python,Python,14509,post_AI,6,1,0,0,0.0,0.28,5.13,1,3554,219469,1
Python,Python,14513,post_AI,12,2,0,0,0.3,4.49,5.13,1,3554,219469,2
Python,Python,14325,post_AI,91,15,0,9,0.85,0.13,5.13,1,3554,219469,8
Python,Python,14470,post_AI,2,1,0,0,0.0,2.0,5.13,1,3554,219469,1
Python,Python,14445,post_AI,2,1,0,0,0.0,2.0,5.13,1,3554,219469,1
AutoGPT,Python,12696,post_AI,6797,53,6,542,0.85,302.35,81.04,1,1121,183287,8
AutoGPT,Python,12480,post_AI,98,3,0,18,0.85,98.0,81.04,1,1121,183287,3
AutoGPT,Python,12718,post_AI,568,13,1,27,0.85,27.68,81.04,1,1121,183287,8
AutoGPT,Python,12711,post_AI,1108,23,1,118,0.85,46.98,81.04,1,1121,183287,8
AutoGPT,Python,12720,post_AI,2115,33,0,158,0.85,131.07,81.04,1,1121,183287,8
AutoGPT,Python,12636,post_AI,2459,11,6,342,0.85,12.74,81.04,1,1121,183287,8
AutoGPT,Python,12623,post_AI,8265,46,31,239,0.85,57.75,81.04,1,1121,183287,8
AutoGPT,Python,12582,post_AI,1235,51,0,65,0.85,10.03,81.04,1,1121,183287,8
AutoGPT,Python,12695,post_AI,16,1,0,3,0.0,0.52,81.04,1,1121,183287,2
AutoGPT,Python,12707,post_AI,162,4,1,29,0.6,29.73,81.04,1,1121,183287,5
AutoGPT,Python,12714,post_AI,62,2,0,5,0.3,62.0,81.04,1,1121,183287,2
AutoGPT,Python,12713,post_AI,133,3,1,11,0.6,129.41,81.04,1,1121,183287,3
AutoGPT,Python,12708,post_AI,6,1,0,7,0.3,1.14,81.04,1,1121,183287,2
AutoGPT,Python,12709,post_AI,83,4,0,11,0.3,53.29,81.04,1,1121,183287,3
AutoGPT,Python,12704,post_AI,494,5,0,53,0.85,62.66,81.04,1,1121,183287,8
AutoGPT,Python,12629,post_AI,4429,45,29,1246,0.85,27.0,81.04,1,1121,183287,8
AutoGPT,Python,12701,post_AI,109,2,0,10,0.6,13.09,81.04,1,1121,183287,3
AutoGPT,Python,12691,post_AI,1648,13,0,114,0.85,175.64,81.04,1,1121,183287,8
AutoGPT,Python,12328,post_AI,1037,13,1,129,0.85,1.38,81.04,1,1121,183287,8
AutoGPT,Python,12697,post_AI,26,2,0,3,0.0,26.0,81.04,1,1121,183287,2
AutoGPT,Python,12638,post_AI,4,1,0,2,0.3,0.03,81.04,1,1121,183287,1
AutoGPT,Python,12686,post_AI,510,14,0,17,0.85,21.56,81.04,1,1121,183287,8
AutoGPT,Python,12692,post_AI,152,1,0,20,0.85,152.0,81.04,1,1121,183287,3
