name,stars,forks,language,size_kb,estimated_loc,commits_count,contributors_count,closed_issues,pull_requests,age_days
public-apis/public-apis,417184,45280,python,4962,1045,4539,425,1,3171,3660
donnemartin/system-design-primer,340541,55093,python,11277,1461,343,122,1,370,3317
vinta/awesome-python,289529,27513,python,5275,2757,2242,406,1,2300,4292
TheAlgorithms/Python,219097,50268,python,16582,89407,3651,453,1,11309,3543
Significant-Gravitas/AutoGPT,182925,46215,python,436538,361196,8150,430,1,7433,1109
AUTOMATIC1111/stable-diffusion-webui,162004,30208,python,36552,52611,7689,427,1,3262,1314
huggingface/transformers,158514,32661,python,460434,1598183,22472,437,1,24426,2707
yt-dlp/yt-dlp,153794,12481,python,60229,261725,23796,380,1,4129,1980
langflow-ai/langflow,146373,8670,python,1196871,535085,17317,318,1,7856,1144
ytdl-org/youtube-dl,139958,10608,python,65510,161304,18977,387,1,4510,5627
